Mile Marker,Name,Categories,City/Town,State/Province,Country,Location,Sublocation,,Website,Telephone
,Marina Les Berges,Marina,"212 1re Rue, Île-aux-Noix, QC J0J 1G0, Canada",Quebec,Canada,Richelieu River,Southern,"45.141008961102564, -73.26348548191558",https://marinalesberges.ca/,14502913312
,Marina Gosselin,Marina,"116 1re Rue, Île-aux-Noix, QC J0J 1G0, Canada",Quebec,Canada,Richelieu River,Southern,"45.13368088697435, -73.2667655102612",https://www.marinagosselin.com/,14502913170
,Daniel Masson Marine,Marina,"950 Rue Principale, Île-aux-Noix, QC J0J 1G0, Canada",Quebec,Canada,Richelieu River,Southern,"45.13032028002238, -73.27708665050241",http://www.marinedanielmasson.com/,14502915000
,Marine 360,Marina,"50 62e Avenue, Île-aux-Noix, QC J0J 1G0, Canada",Quebec,Canada,Richelieu River,Southern,"45.12807976539797, -73.2703489416411",http://www.marine360.ca/,15142828484
,Marina St-Paul-L'Ile-Aux-Noix,Marina,"910 Rue Principale, Île-aux-Noix, QC J0J 1G0, Canada",Quebec,Canada,Richelieu River,Southern,"45.12645334830994, -73.28118785849317",http://www.marina-ile-aux-noix.com/,14502913010
,Marina Fortin Inc.,Marina,"878 Rue Principale, Île-aux-Noix, QC J0J 1G0, Canada",Quebec,Canada,Richelieu River,Southern,"45.12385689216749, -73.2837413214569",https://marinafortin.com/,14502913333
,Marina Rose des Vents,Marina,Le Haut-Richelieu,Quebec,Canada,Richelieu River,Southern,"45.06140419243307, -73.33415061247196",http://www.marinarosedesvents.com/,
,Marina Sieur de Champlain,Marina,Lacolle,Quebec,Canada,Richelieu River,Southern,"45.02326885466941, -73.35398018716312",,
,Canadian Border,Border,Rouses Point,New York,United States,Lake Champlain,Northern,"45.01077012779936, -73.3432084361967",,
,Fort Montgomery,Landmark,Rouses Point,New York,United States,Lake Champlain,Northern,"45.00868800569846, -73.34880352404889",,
,Safe Harbor Gaines,Marina,Rouses Point,New York,United States,Lake Champlain,Northern,"44.99073806062195, -73.36167477074986",https://shmarinas.com/locations/safe-harbor-gaines/,15182977000
,Wilcox Dock,Public Dock,Plattsburgh,New York,United States,Lake Champlain,Northern,"44.70847168491057, -73.44332713226694",,
,City of Plattsburgh Marina,Marina,Plattsburgh,New York,United States,Lake Champlain,Northern,"44.69684969183512, -73.4405045217145",http://www.plattsburghrecreation.com/marina,15183247245
,Plattsburgh Boat Basin,Marina,Plattsburgh,New York,United States,Lake Champlain,Northern,"44.69673529473506, -73.44057425914698",http://www.plattsburghboatbasin.com/,15185612800
,Crab Island,Island,Plattsburgh,New York,United States,Lake Champlain,Northern,"44.66205497214494, -73.41656248040859",,
,USACOE Troy Federal Lock,Lock,Troy,New York,United States,Hudson River,Capital Region,"42.75143385094, -73.6854453811803",,
,Collar City Bridge,Bridge,Green Island,New York,United States,Hudson River,Capital Region,"42.74029199112693, -73.68862053434404",,
,Troy Downtown Marina,Marina,Troy,New York,United States,Hudson River,Capital Region,"42.73533161505528, -73.68861027050298",,
,Green Island Bridge,Bridge,Troy,New York,United States,Hudson River,Capital Region,"42.73551755427481, -73.68974939955453",,
,Troy-Menands Bridge,Bridge,Troy,New York,United States,Hudson River,Capital Region,"42.70100460748762, -73.70300899934794",,
,Congress Street Bridge,Bridge,Watervliet,New York,United States,Hudson River,Capital Region,"42.728914387195815, -73.69723695740751",,
,Chelsea Piers Marina,Marina,New York City,New York,United States,Hudson River,NYC,"40.74607978425462, -74.00962283904776",https://www.chelseapiers.com/marina,12123366600
,Statue of Liberty,Landmark,New York City,New York,United States,Hudson River,NYC,"40.68920869521197, -74.04460769103578",,
,Verrazzano-Narrows Bridge,Landmark,New York City,New York,United States,Hudson River,NYC,"40.606974563134344, -74.04343711540345",,
0,Romer Shoal Light,Aid to Navigation,Middletown Township,New Jersey,United States,Atlantic Ocean,Ocean,"40.50957918512855, -73.99857781617676",,
,Waterford Marina,Marina,Waterford,New York,United States,Hudson River,Capital Region,"42.78783189939874, -73.67992966314684",,
,Waterford Harbor Visitor Center,Points of Interest,Waterford,New York,United States,Hudson River,Capital Region,"42.78737522803156, -73.67958634040231",,15182339123
,Erie Canal Lock E2,Lock,Waterford,New York,United States,Hudson River,Capital Region,"42.78927275423102, -73.68175356524912",,18004226254
,112th Street Bridge,Bridge,Cohoes,New York,United States,Hudson River,Capital Region,"42.77169376826124, -73.68166081053707",,
,Troy Motor Boat & Canoe Club,Marina,Troy,New York,United States,Hudson River,Capital Region,"42.78251903756698, -73.67571101112426",http://troyboatclub.com/,15182359697
,Troy-Waterford Bridge,Bridge,Troy,New York,United States,Hudson River,Capital Region,"42.788770466078724, -73.67409785290502",,
,Waterford Boat Launch,Boat Launch,Waterford,New York,United States,Hudson River,Capital Region,"42.785576064516526, -73.67744261914862",,
,"Lock C1 Waterford, Champlain Canal",Lock,Waterford,New York,United States,Hudson River,Capital Region,"42.82405537326736, -73.6643180672735",,15182378566
,Lock One Marina,Marina,Waterford,New York,United States,Hudson River,Capital Region,"42.82924448018401, -73.66629735293856",http://www.lockonemarinaandshipyard.com/,15182381321
,Halfmoon Lighthouse Park,Points of Interest,Halfmoon,New York,United States,Hudson River,Capital Region,"42.838574327684704, -73.67266047546154",http://www.townofhalfmoon-ny.gov/parks-department/pages/lighthouse-park,15183717410
,Mechanicville Hydroelectric Plant,Points of Interest,Mechanicville,New York,United States,Hudson River,Capital Region,"42.877964741674965, -73.67753173730165",https://en.wikipedia.org/wiki/Mechanicville_Hydroelectric_Plant,
,Mechanicville City Docks,Public Dock,Mechanicville,New York,United States,Hudson River,Capital Region,"42.90405988907791, -73.68396404905175",,
,Howland Ave Bridge,Bridge,Mechanicville,New York,United States,Hudson River,Capital Region,"42.905364438563446, -73.68230376171691",,
,"Lock C3 Mechanicville North, Champlain Canal",Lock,Mechanicville,New York,United States,Hudson River,Capital Region,"42.91169032628117, -73.67777351072817",,
,"Lock C2 Mechanicville South, Champlain Canal",Lock,Mechanicville,New York,United States,Hudson River,Capital Region,"42.87787500659451, -73.67635448085775",,
,Mechanicville Rail Bridge,Bridge,Mechanicville,New York,United States,Hudson River,Capital Region,"42.919280603574634, -73.67183300288767",,
,"Lock C4 Schaghticoke, Champlain Canal",Lock,Schaghticoke,New York,United States,Hudson River,Capital Region,"42.93239887540657, -73.6545905709741",,15186645261
,Stillwater Bridge,Bridge,Stillwater,New York,United States,Hudson River,,"42.93698354773763, -73.64952846871257",,
,Town of Saratoga Boat Launch,Boat Launch,Quaker Springs,New York,United States,Hudson River,,"43.03610955094749, -73.59227658929832",,
,The Alley Bar and Grill,Restaurant,Schuylerville,New York,United States,Hudson River,,"43.05910513621496, -73.59314904006052",,15185076151
,Schuylerville Beach,Points of Interest,Schuylerville,New York,United States,Hudson River,,"43.098828805181604, -73.57586555230571",,
,The Basin Grill,Restaurant,Schuylerville,New York,United States,Hudson River,,"43.09832351388868, -73.57597552289732",http://www.thebasingrill.com/,15186952073
,Schuylerville Bridge,Bridge,Schuylerville,New York,United States,Hudson River,,"43.0985644090987, -73.57538275469828",,
,Batten Kill River ,Confluence,Clark Mills,New York,United States,Hudson River,,"43.10950266172438, -73.57461521930261",,
,The Marshall House,Historic Landmark,Schuylerville,New York,United States,Hudson River,,"43.11125713342057, -73.57997963733123",https://themarshallhouse.org/,15185075444
,"Lock C5 Northumberland, Champlain Canal",Lock,Schuylerville,New York,United States,Hudson River,,"43.112537709372766, -73.57797334504292",,15186953919
,Northumberland Bridge,Bridge,Greenwich,New York,United States,Hudson River,,"43.128801717438975, -73.58706998018788",,
,"Lock C6 Fort Miller, Champlain Canal",Lock,Fort Edward,New York,United States,Hudson River,,"43.16153275491472, -73.5798174017929",,
,Fort Miller Road Bidge,Bridge,Fort Edward,New York,United States,Hudson River,,"43.16671799248884, -73.57980207961684",,
,"Fort Edward, Empire State Trail Bridge",Bridge,Fort Edward,New York,United States,Hudson River,,"43.17766562040275, -73.57924867584393",,
,"Fort Edward, Champlain Canal Historic Lock ",Historic Landmark,Fort Edward,New York,United States,Hudson River,,"43.18954480038459, -73.5810223882048",,
,Moses Kill River,Confluence,Fort Edward,New York,United States,Hudson River,,"43.19921475661272, -73.58200973033641",,
,August Field Airport on Griffin Island,Points of Interest,Gansevoort,New York,United States,Hudson River,,"43.20954928554044, -73.58258037818688",,
,Snook Kill,Confluence,Gansevoort,New York,United States,Hudson River,,"43.231026889898914, -73.5928388438784",,
,Hudson River Boat launch at Fort Edward,Boat Launch,Fort Edward,New York,United States,Hudson River,,"43.25429788131806, -73.58800408573741",,
,"Lock C7 Fort Edward, Champlain Canal",Lock,Fort Edward,New York,United States,Hudson River,,"43.25650122457995, -73.58443740807523",,
,Route 4 Bridge Fort Edward,Bridge,Fort Edward,New York,United States,Hudson River,,"43.259512586076546, -73.5807581634144",,
,Fort Edward Yacht Basin,Public Dock,Fort Edward,New York,United States,Hudson River,,"43.26829224225778, -73.5880136602602",,
,Champlain Canal Hudson Confluence,Confluence,Fort Edward,New York,United States,Hudson River,,"43.255991169870356, -73.5853093690123",,
,Argyle Street Bridge - Fort Edward,Bridge,Fort Edward,New York,United States,Hudson River,,"43.26408966500471, -73.57604790904888",,
,East Street Bridge - Fort Edward,Bridge,Fort Edward,New York,United States,Hudson River,,"43.27218364095962, -73.56880300041637",,
,"Lock C8 Hudson Falls, Champlain Canal",Lock,Hudson Falls,New York,United States,Hudson River,,"43.28198241299902, -73.55919334259485",,
,NY 196 Bridge - Hudson Falls,Bridge,Hudson Falls,New York,United States,Hudson River,,"43.304084082181916, -73.53929830549492",,
,New Swamp Road Bridge,Bridge,Hudson Falls,New York,United States,Hudson River,,"43.33190235212719, -73.5108438837928",,
,"Lock C9 Smith's Basin, Champlain Canal",Lock,Fort Ann,New York,United States,Hudson River,,"43.35180057713157, -73.49573674869272",,
,NY 149 Bridge - Fort Ann,Bridge,Fort Ann,New York,United States,Hudson River,,"43.35781476910574, -73.49359879934632",,
,Baldwin Corners Road Bridge - Fort Ann,Bridge,Fort Ann,New York,United States,Hudson River,,"43.39003920729446, -73.48610344231157",,
,Ann Street Bridge - Fort Ann,Bridge,Fort Ann,New York,United States,Hudson River,,"43.413659464138505, -73.48497093968366",,
,Fort Ann Canal Park,Points of Interest,Fort Ann,New York,United States,Hudson River,,"43.414324653853924, -73.48529235691245",,
,NY 22 Bridge - Comstock,Bridge,Comstock,New York,United States,Hudson River,,"43.456953658555406, -73.44100936231177",,
,"Lock C11 Comstock, Champlain Canal",Lock,Comstock,New York,United States,Hudson River,,"43.46815206507674, -73.43505663732472",,
,Ryder Road Bridge,Bridge,Whitehall,New York,United States,Hudson River,,"43.48421360972283, -73.42475084601978",,
,Mettawee River,Confluence,Whitehall,New York,United States,Hudson River,,"43.533803058573945, -73.40243579841255",,
,Whitehall Train Bridge,Bridge,Whitehall,New York,United States,Hudson River,,"43.54788424169869, -73.40215656572875",,
,Poultney Street Bridge - Whitehall,Bridge,Whitehall,New York,United States,Hudson River,,"43.549596812267, -73.40208682829274",,
,Whitehall Public Boat Launch,Boat Launch,Whitehall,New York,United States,Hudson River,,"43.5508006304283, -73.40229306825833",,
,1812 U.S.S. Ticonderoga Hull,Historic Landmark;Points of Interest,Whitehall,New York,United States,Hudson River,,"43.55279746178915, -73.40249063536521",,
,Skenesborough Museum,Points of Interest,Whitehall,New York,United States,Hudson River,,"43.5532639968131, -73.4026059703497",http://www.skenesborough.com/skenesborough-museum/,15184990716
,Saunders Street Bridge,Bridge,Whitehall,New York,United States,Hudson River,,"43.555177573975115, -73.40158863706999",,
,"Lock C12 Whitehall, Champlain Canal",Lock,Whitehall,New York,United States,Hudson River,,"43.557674481072944, -73.40087603264287",,15184991700
,Whitehall Marina,Mairna,Whitehall,New York,United States,Hudson River,,"43.55927170670533, -73.40085725716911",,15184999700
,Champs Corner Pub and Grill,Restaurant,Whitehall,New York,United States,Hudson River,,"43.56136247258776, -73.40087483373414",https://www.facebook.com/profile.php?id=100063549885004&mibextid=ZbWKwL,15184995172
,Poultney River,Confluence,West Haven,Vermont,United States,Lake Champlain,Southern,"43.56895090518341, -73.40054988694115",,
,South Bay,Confluence,Whitehall,New York,United States,Lake Champlain,Southern,"43.5822719999323, -73.4277590047984",,
,Western Most point of Vermont,Points of Interest,West Haven,Vermont,United States,Lake Champlain,Southern,"43.58860301723655, -73.43055817968121",,
,Benson Landing Boat Launch,Boat Launch,Benson,Vermont,United States,Lake Champlain,Southern,"43.728642768241, -73.36732903673419",,
,George Davis Boat Launch,Boat Launch,Orwell,Vermont,United States,Lake Champlain,Southern,"43.76421009170354, -73.34309365185183",https://anrweb.vt.gov/FWD/FW/FishingAccessAreas.aspx,
,Plunder Bay Marina,Marina,Orwell,Vermont,United States,Lake Champlain,Southern,"43.79439150486487, -73.3578369982008",http://plunderbayvt.com/,18023451460
,Chipman Point Marina,Mairna,Orwell,Vermont,United States,Lake Champlain,Southern,"43.7997932892087, -73.37568428914632",https://chipmanpoint.com/,18029482288
,Mt. Independence Visitor Center,Points of Interest,Orwell,Vermont,United States,Lake Champlain,Southern,"43.818613005107494, -73.38485124956458",https://historicsites.vermont.gov/mount-independence,18025058592
,Mount Independence,Historic Landmark;Points of Interest,Orwell,Vermont,United States,Lake Champlain,Southern,"43.826395393512264, -73.38160495210535",https://historicsites.vermont.gov/mount-independence,18025058592
,Fort View Inn,Restaurant,Ticonderoga,New York,United States,Lake Champlain,Southern,"43.828361378431, -73.40025166880278",,
,La Chute River,Confluence,Ticonderoga,New York,United States,Lake Champlain,Southern,"43.83493398033025, -73.39372692295336",,
,Fort Ticonderoga,Historic Landmark;Points of Interest,Ticonderoga,New York,United States,Lake Champlain,Southern,"43.84186856267097, -73.38749607538244",https://www.fortticonderoga.org/,
,General Henry Knox Cannon Trail Marker #1,Historic Landmark;Points of Interest,Ticonderoga,New York,United States,Lake Champlain,Southern,"43.84080067895851, -73.38408430560871",,
,Mount Defiance,Historic Landmark;Points of Interest,Ticonderoga,New York,United States,Lake Champlain,Southern,"43.83160369709217, -73.40653977741042",http://www.fortticonderoga.org/visit/mount-defiance,
,Larrabees Point Access Area,Boat Launch,Shoreham,Vermont,United States,Lake Champlain,Southern,"43.84922971666925, -73.36942565357774",https://anrweb.vt.gov/FWD/FW/FishingAccessAreas.aspx?aa=Larrabees%20Point,
,Ticonderoga Boat Launch,Boat Launch;Public Dock,Ticonderoga,New York,United States,Lake Champlain,Southern,"43.85364753068864, -73.38511121153566",,
,Fort Ticonderoga Ferry,Ferry;Points of Interest,Shoreham,Vermont,United States,Lake Champlain,Southern,"43.85364753068864, -73.38511121153566",,
,Sylvamo - Ticonderoga Mill,Points of Interest,Ticonderoga,New York,United States,Lake Champlain,Southern,"43.89227093936317, -73.40236555218047",http://sylvamo.com/,
,Lapham Bay Access Area,Boat,Bridport,Vermont,United States,Lake Champlain,Southern,"43.926094603107124, -73.39227570627233",,
,Sheepshead Island,Island,Crown Point,New York,United States,Lake Champlain,Southern,"43.93790686479738, -73.41355648775505",,
,Monitor Bay Campsite and Boat Launch,Boat Launch;Public Dock;Campground,Crown Point,New York,United States,Lake Champlain,Southern,"43.947924789848436, -73.41332612038939",https://townofcrownpointny.gov/monitor-bay/,
,Gilligans Bay,Anchorage;Bay,Crown Point,New York,United States,Lake Champlain,Southern,"43.95557841255965, -73.41081844619963",,
,Putts Point Spires,Obstructions,Crown Point,New York,United States,Lake Champlain,Southern,"43.957598061654956, -73.4067736750532",,
,Sportsman Campground and Cottages,Campground,Addison,Vermont,United States,Lake Champlain,Southern,"44.03264214812174, -73.40990981755553",http://www.sportsmanccs.com/,
,10 Acres Campground,Campground,Addison,Vermont,United States,Lake Champlain,Southern,"44.03008190791238, -73.40400251392309",https://www.10acrescampground.com/,
,Red Conical 58 Lighted - RFL4S,ATON;Buoy,Crown Point,New York,United States,Lake Champlain,Southern,"44.02632246954932, -73.41340624438519",,
,Red Nun 56,ATON;Buoy,Crown Point,New York,United States,Lake Champlain,Southern,,,
,Chimney Point Boat Ramp,Boat Launch,Addison,Vermont,United States,Lake Champlain,Southern,"44.034504792115065, -73.42188745923237",,
,Chimney Point Historic Museum,Historic Landmark;Points of Interest,Addison,Vermont,United States,Lake Champlain,Southern,"44.034884357875434, -73.42095217714127",http://historicsites.vermont.gov/,
,Lake Champlain Bridge,Bridge,Crown Point,New York,United States,Lake Champlain,Southern,"44.03278594283646, -73.4232035957054",,
,Crown Point Boat Launch,Boat Launch,Crown Point,New York,United States,Lake Champlain,Southern,"44.02955512600389, -73.42450011890374",,
,Crown Point State Historic Site,Historic Landmark;Points of Interest,Crown Point,New York,United States,Lake Champlain,Southern,"44.02878284720524, -73.42945360211246",https://parks.ny.gov/historic-sites/34/details.aspx,
,Lake Champlain Visitors Center,Points of Interest,Crown Point,New York,United States,Lake Champlain,Southern,"44.02949341530646, -73.42566956200227",http://www.lakechamplainregion.com/professional-services/lake-champlain-visitors-center,
,Champlain Memorial Lighthouse,Historic Landmark;Lighthouse;ATON;Points of Interest,Crown Point,New York,United States,Lake Champlain,Southern,"44.02988017684379, -73.4215148446729",,
,Fort St. Frederic,Historic Landmark;Points of Interest,Crown Point,New York,United States,Lake Champlain,Southern,"44.030471040240215, -73.42611069246796",https://www.nps.gov/parkhistory/online_books/explorers/sitec45.htm,
,Bulwagga Bay,Anchorage;Bay,Crown Point,New York,United States,Lake Champlain,Southern,"44.01811087466645, -73.44519028053095",,
,Bulwagga Bay Beach,Beach,Port Henry,New York,United States,Lake Champlain,Southern,"44.03604511916276, -73.45612837845567",,
,Bulwagga Bay Campground & Beach,Campground,Port Henry,New York,United States,Lake Champlain,Southern,"44.03491611972144, -73.45548330725624",,
,Port Henry Waterfront Farmers' Market,Points of Interest,Port Henry,New York,United States,Lake Champlain,Southern,"44.03995178609477, -73.45855548408409",,
,Bridgeview Harbour Marina,Marina;Campground,Port Henry,New York,United States,Lake Champlain,Southern,"44.04137086541007, -73.45767035513336",https://www.bridgeviewharbour.com,15185467400
,Port Henry Beach,Beach,Port Henry,New York,United States,Lake Champlain,Southern,"44.05000961243302, -73.4542372458281",,
,Port Henry Campgrounds & Champ Beach Park,Campground,Port Henry,New York,United States,Lake Champlain,Southern,"44.050663932140566, -73.45421379883025",,
,Port Henry Boat Launch,Boat Launch,Port Henry,New York,United States,Lake Champlain,Southern,"44.05252049414113, -73.45305720452397",,
,Port Henry Marina,Marina,Port Henry,New York,United States,Lake Champlain,Southern,"44.054155795092484, -73.45218531725945",http://porthenrymarina.com/,15185464075
,Port Henry Pier,Public Dock;Points of Interest,Port Henry,New York,United States,Lake Champlain,Southern,"44.05058682123638, -73.45118826714413",,
,Dockside Café,Restaurant,Port Henry,New York,United States,Lake Champlain,Southern,"44.04086540618795, -73.45871117038496",https://www.facebook.com/DocksideCafeAtBridgeviewHarbour/,
,Mullen Bay,Bay,Moriah,New York,United States,Lake Champlain,Southern,"44.09863385598507, -73.44560174348865",,
,Stevenson Bay,Anchorage;Bay,Westport,New York,United States,Lake Champlain,Southern,"44.11154907362342, -73.43202435208524",,
,Cole Bay,Anchorage;Bay,Westport,New York,United States,Lake Champlain,Southern,"44.14284349343071, -73.42120587952374",,
,Cole Island,Island,Westport,New York,United States,Lake Champlain,Southern,"44.14090329490463, -73.42142045623908",,
,Young Bay,Bay,Westport,New York,United States,Lake Champlain,Southern,"44.15934320101876, -73.4051475159417",,
,South Bay,Bay,Westport,New York,United States,Lake Champlain,Southern,"44.15204606787638, -73.40727182542345",,
,Barber Homested Park,Campground,Westport,New York,United States,Lake Champlain,Southern,"44.153719538243614, -73.4077298245857",,
,Cold Spring Bay,Bay,Westport,New York,United States,Lake Champlain,Southern,"44.16787001592942, -73.41324861062421",,
,Rolling Hills Estate Winery,Restaurant;Winery,Westport,New York,United States,Lake Champlain,Southern,"44.16997295489235, -73.4221798517701",,
,Westport Yacht Club,Restaurant,Westport,New York,United States,Lake Champlain,Southern,"44.18076614228613, -73.42875608532442",,
,Westport Marina,Mairna,Westport,New York,United States,Lake Champlain,Southern,"44.18280997860689, -73.43074811190628",,
,Portside Restaurant,Restaurant,Westport,New York,United States,Lake Champlain,Southern,"44.18227621464789, -73.43072128981935",,
,Lee Park and Beach,Points of Interest;Beach,Westport,New York,United States,Lake Champlain,Southern,"44.184583621939254, -73.4328574380724",,
,Westport Boat Launch,Boat Launch,Westport,New York,United States,Lake Champlain,Southern,"44.18882319496973, -73.43398649064298",,
,Westport Lakeside Motel,Hotel,Westport,New York,United States,Lake Champlain,Southern,"44.18942012551756, -73.43402649056281",,
,Furnace Point,Points of Interest,Westport,New York,United States,Lake Champlain,Southern,"44.191912670481436, -73.42695051772458",,
,Hunter Bay,Anchorage;Bay,Westport,New York,United States,Lake Champlain,Southern,"44.19977071072829, -73.40015288828687",,
,Partridge Harbor,Anchorage;Bay,Westport,New York,United States,Lake Champlain,Southern,"44.20044423615178, -73.39233763940597",,
,Rock Harbor,Anchorage;Bay,Westport,New York,United States,Lake Champlain,Southern,"44.20459048938679, -73.38465973331995",,
,Barn Rock Harbor,Anchorage;Bay,Westport,New York,United States,Lake Champlain,Southern,"44.211388066629326, -73.37358340467945",,
,Snake Den Harbor,Bay,Westport,New York,United States,Lake Champlain,Narrows,"44.22776596761818, -73.3632820992096",,
,Grog Harbor,Anchorage;Bay,Essex,New York,United States,Lake Champlain,Narrows,"44.25936871645782, -73.32694879509239",,
,Split Rock Point,Points of Interest,Essex,New York,United States,Lake Champlain,Narrows,"44.27079187931224, -73.32224912583587",,
,Whallon Bay,Bay,Essex,New York,United States,Lake Champlain,Broad Lake,"44.27530910002894, -73.34316135506087",,
,Essex Marina,Marina,Essex,New York,United States,Lake Champlain,Broad Lake,"44.30745615228226, -73.34936375099063",http://www.essexmarinany.com/,15189637222
,The Essex Ice Cream Café,Restaurant,Essex,New York,United States,Lake Champlain,Broad Lake,"44.30970179995404, -73.35137540777691",,
,Essex Inn on the Adirondack Coast,Hotel;Restaurant,Essex,New York,United States,Lake Champlain,Broad Lake,"44.30871909976386, -73.35141832313641",,
,Old Dock House & Marina,Marina;Restaurant,Essex,New York,United States,Lake Champlain,Broad Lake,"44.31018930526602, -73.35017377818751",http://theolddock.com/,15189634232
,Essex Ferry Dock,Ferry;Points of Interest,Essex,New York,United States,Lake Champlain,Broad Lake,"44.31081883371589, -73.35074240647344",,
,Boquet River,Confluence,Willsboro,New York,United States,Lake Champlain,Broad Lake,"44.35601054917346, -73.35530736643877",,
,Boquet Beach,Beach,Willsboro,New York,United States,Lake Champlain,Broad Lake,"44.35473711263557, -73.35514106948439",,
,Buena Vista Bay,Anchorage;Bay,Willsboro,New York,United States,Lake Champlain,Broad Lake,"44.40056500738974, -73.38015155417494",,
,Pumpkin Reef,Points of Interest,Willsboro,New York,United States,Lake Champlain,Broad Lake,"44.44561526618685, -73.37358681927505",,
,Willsboro Point Nightly Accommodations,Hotel,Willsboro,New York,United States,Lake Champlain,Broad Lake,"44.43232521042483, -73.38738592198585",https://www.willsboropoint.com/#rentals,
,Indian Bay Marina and Restaurant,Marina;Restaurant,Willsboro,New York,United States,Lake Champlain,Broad Lake,"44.427674662513304, -73.39325459516178",http://www.indianbaymarinany.com/,15189637858
,The Upper Deck,Restaurant,Willsboro,New York,United States,Lake Champlain,Broad Lake,"44.40491938761567, -73.39477214295349",,
,Safe Harbor Willsboro Bay,Marina,Willsboro,New York,United States,Lake Champlain,Broad Lake,"44.40498453851561, -73.39557412343801",https://shmarinas.com/locations/safe-harbor-willsboro/,15189637276
,Willsboro Bay Boat Launch,Boat Launch,Willsboro,New York,United States,Lake Champlain,Broad Lake,"44.40009403347969, -73.39033010148208",,
,Willsboro Bay,Anchorage;Bay,Willsboro,New York,United States,Lake Champlain,Broad Lake,"44.39933720278754, -73.38912840265631",,
,Port Douglass Boat Launch,Boat,Keeseville,New York,United States,Lake Champlain,Broad Lake,"44.48447137465917, -73.41697353652225",http://www.dec.ny.gov/outdoor/23897.html,
,Port Kent Beach,Beach,Port Kent,New York,United States,Lake Champlain,Broad Lake,"44.52720125586525, -73.40435327463666",,
,Port Kent Boat Launch,Boat Launch;Public Dock,Port Kent,New York,United States,Lake Champlain,Broad Lake,"44.52650330087202, -73.40334744628451",,
,Ausable River,Confluence,Port Kent,New York,United States,Lake Champlain,Broad Lake,"44.55616555392404, -73.42414192755848",,
,Ausable Point Campground,Campground,Peru,New York,United States,Lake Champlain,,"44.57237306835322, -73.4280849956548",http://www.dec.ny.gov/outdoor/24452.html,15185617080
,Valcour Inn and Boathouse,Hotel,Peru,New York,United States,Lake Champlain,,"44.604588634397274, -73.43857103132333",http://www.valcourinn.com/,15185664077
,Peru Boat Launch,Boat Launch,Peru,New York,United States,Lake Champlain,,"44.61908180202903, -73.44354077016203",,
,Heron Ledge Cottages,Hotel,Plattsburgh,New York,United States,Lake Champlain,,"44.62140028619301, -73.44611699309085",http://www.heronledge.com/,15188347608
,The Mariner Bar & Grill,Restaurant,Plattsburgh,New York,United States,Lake Champlain,,"44.624425807332244, -73.44720564393849",https://www.themarinergrill.com/,15185658511
,Champlain Fleet Club,Marina,Plattsburgh,New York,United States,Lake Champlain,,"44.624641086744646, -73.44715864107206",http://www.champlainfleetclub.com/,18023635090
,Salmon River,Confluence,Plattsburgh,New York,United States,Lake Champlain,,"44.62730979696812, -73.44670802995876",,
,Sailor's Beach,Beach,Plattsburgh,New York,United States,Lake Champlain,,"44.681589125716556, -73.44184174227382",,
,Sailors Point Park,Points of Interest,Plattsburgh,New York,United States,Lake Champlain,,"44.69138687998434, -73.44396126094192",,
,Naked Turtle,Marina;Restaurant,Plattsburgh,New York,United States,Lake Champlain,,"44.69612428399227, -73.44203890834598",https://www.nakedturtle.net/menu,15185666200