Mile Marker,Name,Categories,City/Town,State/Province,Country,Location,Sublocation,Coordinates,Website,Telephone,VHF,Description,Fuel Available,Fuel Types,Ethanol Free,Total Slips,Transient Slips,Max Vessel Length,Min Depth,Bridge Type,Bridge Clearance,Bridge Clearance Open,Bridge Roadway,Bridge Opening Schedule,Lock Number,Lock Canal,Lock Lift,Lock Chamber Length,Lock Chamber Width,Lock Operating Hours,Lock Operating Season,ATON Characteristic,ATON Color,ATON Shape
,Mount Defiance,Historic Landmark;Points of Interest,Ticonderoga,New York,United States,Lake Champlain,Southern,"43.83160369709217, -73.40653977741042",http://www.fortticonderoga.org/visit/mount-defiance,,,Strategic hilltop with panoramic views,,,,,,,,,,,,,,,,,,,,,,
,Larrabees Point Access Area,Boat Launch,Shoreham,Vermont,United States,Lake Champlain,Southern,"43.84922971666925, -73.36942565357774",https://anrweb.vt.gov/FWD/FW/FishingAccessAreas.aspx?aa=Larrabees%20Point,,,Vermont boat launch at ferry crossing,,,,,,,,,,,,,,,,,,,,,,
,Ticonderoga Boat Launch,Boat Launch;Public Dock,Ticonderoga,New York,United States,Lake Champlain,Southern,"43.85364753068864, -73.38511121153566",,,,State boat launch and dock,,,,,,,,,,,,,,,,,,,,,,
,Fort Ticonderoga Ferry,Ferry;Points of Interest,Shoreham,Vermont,United States,Lake Champlain,Southern,"43.85364753068864, -73.38511121153566",,,,Historic cable ferry crossing,,,,,,,,,,,,,,,,,,,,,,
,Sylvamo - Ticonderoga Mill,Points of Interest,Ticonderoga,New York,United States,Lake Champlain,Southern,"43.89227093936317, -73.40236555218047",http://sylvamo.com/,,,Paper mill - local landmark,,,,,,,,,,,,,,,,,,,,,,
,Lapham Bay Access Area,Boat Launch,Bridport,Vermont,United States,Lake Champlain,Southern,"43.926094603107124, -73.39227570627233",,,,Vermont boat launch,,,,,,,,,,,,,,,,,,,,,,
,Sheepshead Island,Island,Crown Point,New York,United States,Lake Champlain,Southern,"43.93790686479738, -73.41355648775505",,,,Small island in southern lake,,,,,,,,,,,,,,,,,,,,,,
,Monitor Bay Campsite and Boat Launch,Boat Launch;Campground,Crown Point,New York,United States,Lake Champlain,Southern,"43.947924789848436, -73.41332612038939",https://townofcrownpointny.gov/monitor-bay/,,,Municipal campground with boat launch,,,,,,,,,,,,,,,,,,,,,,
,Gilligans Bay,Anchorage;Bay,Crown Point,New York,United States,Lake Champlain,Southern,"43.95557841255965, -73.41081844619963",,,,Protected anchorage,,,,,,,,,,,,,,,,,,,,,,
,Putts Point Spires,Obstructions,Crown Point,New York,United States,Lake Champlain,Southern,"43.957598061654956, -73.4067736750532",,,,Underwater hazard - marked,,,,,,,,,,,,,,,,,,,,,,
,Sportsman Campground and Cottages,Campground,Addison,Vermont,United States,Lake Champlain,Southern,"44.03264214812174, -73.40990981755553",http://www.sportsmanccs.com/,,,Lakeside camping,,,,,,,,,,,,,,,,,,,,,,
,10 Acres Campground,Campground,Addison,Vermont,United States,Lake Champlain,Southern,"44.03008190791238, -73.40400251392309",https://www.10acrescampground.com/,,,Campground near bridge,,,,,,,,,,,,,,,,,,,,,,
,Red Conical 58 Lighted - RFL4S,ATON;Buoy,Crown Point,New York,United States,Lake Champlain,Southern,"44.02632246954932, -73.41340624438519",,,,Lighted channel buoy,,,,,,,,,,,,,,,,,,,,Fl R 4s,red,nun
,Red Nun 56,ATON;Buoy,Crown Point,New York,United States,Lake Champlain,Southern,,,,,Channel marker buoy,,,,,,,,,,,,,,,,,,,,,red,nun
,Chimney Point Boat Ramp,Boat Launch,Addison,Vermont,United States,Lake Champlain,Southern,"44.034504792115065, -73.42188745923237",,,,Vermont boat launch at bridge,,,,,,,,,,,,,,,,,,,,,,
,Chimney Point Historic Museum,Historic Landmark;Points of Interest,Addison,Vermont,United States,Lake Champlain,Southern,"44.034884357875434, -73.42095217714127",http://historicsites.vermont.gov/,,,Vermont historic site,,,,,,,,,,,,,,,,,,,,,,
,Lake Champlain Bridge,Bridge,Crown Point,New York,United States,Lake Champlain,Southern,"44.03278594283646, -73.4232035957054",,,,Fixed bridge - only crossing between Whitehall and Rouses Point,,,,,,,,fixed,75,,NY 185 / VT 17,,,,,,,,,,,
,Crown Point Boat Launch,Boat Launch,Crown Point,New York,United States,Lake Champlain,Southern,"44.02955512600389, -73.42450011890374",,,,State boat launch,,,,,,,,,,,,,,,,,,,,,,
,Crown Point State Historic Site,Historic Landmark;Points of Interest,Crown Point,New York,United States,Lake Champlain,Southern,"44.02878284720524, -73.42945360211246",https://parks.ny.gov/historic-sites/34/details.aspx,,,Fort ruins and visitor center,,,,,,,,,,,,,,,,,,,,,,
,Lake Champlain Visitors Center,Points of Interest,Crown Point,New York,United States,Lake Champlain,Southern,"44.02949341530646, -73.42566956200227",http://www.lakechamplainregion.com/professional-services/lake-champlain-visitors-center,,,Regional tourism center,,,,,,,,,,,,,,,,,,,,,,
,Champlain Memorial Lighthouse,Historic Landmark;Lighthouse;ATON;Points of Interest,Crown Point,New York,United States,Lake Champlain,Southern,"44.02988017684379, -73.4215148446729",,,,Historic lighthouse at Crown Point,,,,,,,,,,,,,,,,,,,,Fl W 10s,white,tower
,Fort St. Frederic,Historic Landmark;Points of Interest,Crown Point,New York,United States,Lake Champlain,Southern,"44.030471040240215, -73.42611069246796",https://www.nps.gov/parkhistory/online_books/explorers/sitec45.htm,,,French colonial fort ruins,,,,,,,,,,,,,,,,,,,,,,
,Bulwagga Bay,Anchorage;Bay,Crown Point,New York,United States,Lake Champlain,Southern,"44.01811087466645, -73.44519028053095",,,,Protected anchorage with good holding,,,,,,,,,,,,,,,,,,,,,,
,Bulwagga Bay Beach,Beach,Port Henry,New York,United States,Lake Champlain,Southern,"44.03604511916276, -73.45612837845567",,,,Public beach,,,,,,,,,,,,,,,,,,,,,,
,Bulwagga Bay Campground & Beach,Campground,Port Henry,New York,United States,Lake Champlain,Southern,"44.03491611972144, -73.45548330725624",,,,Lakeside camping and beach,,,,,,,,,,,,,,,,,,,,,,
,Port Henry Waterfront Farmers' Market,Points of Interest,Port Henry,New York,United States,Lake Champlain,Southern,"44.03995178609477, -73.45855548408409",,,,Seasonal farmers market,,,,,,,,,,,,,,,,,,,,,,
,Bridgeview Harbour Marina,Marina;Campground,Port Henry,New York,United States,Lake Champlain,Southern,"44.04137086541007, -73.45767035513336",https://www.bridgeviewharbour.com,15185467400,9,Full-service marina with fuel dock and camping,TRUE,"gasoline,diesel",TRUE,50,10,50,8,,,,,,,,,,,,,,,
,Port Henry Beach,Beach,Port Henry,New York,United States,Lake Champlain,Southern,"44.05000961243302, -73.4542372458281",,,,Public beach,,,,,,,,,,,,,,,,,,,,,,
,Port Henry Campgrounds & Champ Beach Park,Campground,Port Henry,New York,United States,Lake Champlain,Southern,"44.050663932140566, -73.45421379883025",,,,Municipal camping and beach,,,,,,,,,,,,,,,,,,,,,,
,Port Henry Boat Launch,Boat Launch,Port Henry,New York,United States,Lake Champlain,Southern,"44.05252049414113, -73.45305720452397",,,,State boat launch,,,,,,,,,,,,,,,,,,,,,,
,Port Henry Marina,Marina,Port Henry,New York,United States,Lake Champlain,Southern,"44.054155795092484, -73.45218531725945",http://porthenrymarina.com/,15185464075,9,Full-service marina,TRUE,"gasoline,diesel",FALSE,60,10,45,6,,,,,,,,,,,,,,,
,Port Henry Pier,Public Dock;Points of Interest,Port Henry,New York,United States,Lake Champlain,Southern,"44.05058682123638, -73.45118826714413",,,,Historic pier and public dock,,,,,,,,,,,,,,,,,,,,,,
,Dockside Café,Restaurant,Port Henry,New York,United States,Lake Champlain,Southern,"44.04086540618795, -73.45871117038496",https://www.facebook.com/DocksideCafeAtBridgeviewHarbour/,,,Waterfront dining at Bridgeview Harbour,,,,,,,,,,,,,,,,,,,,,,
,Mullen Bay,Bay,Moriah,New York,United States,Lake Champlain,Southern,"44.09863385598507, -73.44560174348865",,,,Bay on western shore,,,,,,,,,,,,,,,,,,,,,,
,Stevenson Bay,Anchorage;Bay,Westport,New York,United States,Lake Champlain,Southern,"44.11154907362342, -73.43202435208524",,,,Protected anchorage,,,,,,,,,,,,,,,,,,,,,,
,Cole Bay,Anchorage;Bay,Westport,New York,United States,Lake Champlain,Southern,"44.14284349343071, -73.42120587952374",,,,Protected anchorage,,,,,,,,,,,,,,,,,,,,,,
,Cole Island,Island,Westport,New York,United States,Lake Champlain,Southern,"44.14090329490463, -73.42142045623908",,,,Island near Cole Bay,,,,,,,,,,,,,,,,,,,,,,
,Young Bay,Bay,Westport,New York,United States,Lake Champlain,Southern,"44.15934320101876, -73.4051475159417",,,,Bay on western shore,,,,,,,,,,,,,,,,,,,,,,
,South Bay,Bay,Westport,New York,United States,Lake Champlain,Southern,"44.15204606787638, -73.40727182542345",,,,Bay south of Westport,,,,,,,,,,,,,,,,,,,,,,
,Barber Homestead Park,Campground,Westport,New York,United States,Lake Champlain,Southern,"44.153719538243614, -73.4077298245857",,,,Municipal park,,,,,,,,,,,,,,,,,,,,,,
,Cold Spring Bay,Bay,Westport,New York,United States,Lake Champlain,Southern,"44.16787001592942, -73.41324861062421",,,,Bay on western shore,,,,,,,,,,,,,,,,,,,,,,
,Rolling Hills Estate Winery,Restaurant;Winery,Westport,New York,United States,Lake Champlain,Southern,"44.16997295489235, -73.4221798517701",,,,Winery with lake views,,,,,,,,,,,,,,,,,,,,,,
,Westport Yacht Club,Restaurant,Westport,New York,United States,Lake Champlain,Southern,"44.18076614228613, -73.42875608532442",,,,Yacht club with dining,,,,,,,,,,,,,,,,,,,,,,
,Westport Marina,Marina,Westport,New York,United States,Lake Champlain,Southern,"44.18280997860689, -73.43074811190628",,,,Marina in Westport harbor,TRUE,"gasoline,diesel",FALSE,40,8,45,6,,,,,,,,,,,,,,,
,Portside Restaurant,Restaurant,Westport,New York,United States,Lake Champlain,Southern,"44.18227621464789, -73.43072128981935",,,,Waterfront dining,,,,,,,,,,,,,,,,,,,,,,
,Lee Park and Beach,Points of Interest;Beach,Westport,New York,United States,Lake Champlain,Southern,"44.184583621939254, -73.4328574380724",,,,Public park and beach,,,,,,,,,,,,,,,,,,,,,,
,Westport Boat Launch,Boat Launch,Westport,New York,United States,Lake Champlain,Southern,"44.18882319496973, -73.43398649064298",,,,State boat launch,,,,,,,,,,,,,,,,,,,,,,
,Westport Lakeside Motel,Hotel,Westport,New York,United States,Lake Champlain,Southern,"44.18942012551756, -73.43402649056281",,,,Lakeside lodging,,,,,,,,,,,,,,,,,,,,,,
,Furnace Point,Points of Interest,Westport,New York,United States,Lake Champlain,Southern,"44.191912670481436, -73.42695051772458",,,,Historic iron furnace site,,,,,,,,,,,,,,,,,,,,,,
,Hunter Bay,Anchorage;Bay,Westport,New York,United States,Lake Champlain,Southern,"44.19977071072829, -73.40015288828687",,,,Protected anchorage,,,,,,,,,,,,,,,,,,,,,,
,Partridge Harbor,Anchorage;Bay,Westport,New York,United States,Lake Champlain,Southern,"44.20044423615178, -73.39233763940597",,,,Protected harbor,,,,,,,,,,,,,,,,,,,,,,
,Rock Harbor,Anchorage;Bay,Westport,New York,United States,Lake Champlain,Southern,"44.20459048938679, -73.38465973331995",,,,Protected anchorage,,,,,,,,,,,,,,,,,,,,,,
,Barn Rock Harbor,Anchorage;Bay,Westport,New York,United States,Lake Champlain,Southern,"44.211388066629326, -73.37358340467945",,,,Protected anchorage in the Narrows,,,,,,,,,,,,,,,,,,,,,,
,Snake Den Harbor,Bay,Westport,New York,United States,Lake Champlain,Narrows,"44.22776596761818, -73.3632820992096",,,,Harbor in the Narrows,,,,,,,,,,,,,,,,,,,,,,
,Grog Harbor,Anchorage;Bay,Essex,New York,United States,Lake Champlain,Narrows,"44.25936871645782, -73.32694879509239",,,,Protected anchorage near Split Rock,,,,,,,,,,,,,,,,,,,,,,
,Split Rock Point,Points of Interest,Essex,New York,United States,Lake Champlain,Narrows,"44.27079187931224, -73.32224912583587",,,,Historic landmark and lighthouse site,,,,,,,,,,,,,,,,,,,,,,
,Whallon Bay,Bay,Essex,New York,United States,Lake Champlain,Broad Lake,"44.27530910002894, -73.34316135506087",,,,Bay on western shore,,,,,,,,,,,,,,,,,,,,,,
,Essex Marina,Marina,Essex,New York,United States,Lake Champlain,Broad Lake,"44.30745615228226, -73.34936375099063",http://www.essexmarinany.com/,15189637222,9,Marina in historic Essex village,TRUE,"gasoline,diesel",FALSE,30,8,40,6,,,,,,,,,,,,,,,
,The Essex Ice Cream Café,Restaurant,Essex,New York,United States,Lake Champlain,Broad Lake,"44.30970179995404, -73.35137540777691",,,,Ice cream and cafe,,,,,,,,,,,,,,,,,,,,,,
,Essex Inn on the Adirondack Coast,Hotel;Restaurant,Essex,New York,United States,Lake Champlain,Broad Lake,"44.30871909976386, -73.35141832313641",,,,Historic inn with dining,,,,,,,,,,,,,,,,,,,,,,
,Old Dock House & Marina,Marina;Restaurant,Essex,New York,United States,Lake Champlain,Broad Lake,"44.31018930526602, -73.35017377818751",http://theolddock.com/,15189634232,9,Marina with waterfront restaurant,TRUE,gasoline,FALSE,20,5,35,6,,,,,,,,,,,,,,,
,Essex Ferry Dock,Ferry;Points of Interest,Essex,New York,United States,Lake Champlain,Broad Lake,"44.31081883371589, -73.35074240647344",,,,Lake Champlain Transportation Co ferry,,,,,,,,,,,,,,,,,,,,,,
,Boquet River,Confluence,Willsboro,New York,United States,Lake Champlain,Broad Lake,"44.35601054917346, -73.35530736643877",,,,River mouth - fishing spot,,,,,,,,,,,,,,,,,,,,,,
,Boquet Beach,Beach,Willsboro,New York,United States,Lake Champlain,Broad Lake,"44.35473711263557, -73.35514106948439",,,,Public beach,,,,,,,,,,,,,,,,,,,,,,
,Buena Vista Bay,Anchorage;Bay,Willsboro,New York,United States,Lake Champlain,Broad Lake,"44.40056500738974, -73.38015155417494",,,,Bay on western shore,,,,,,,,,,,,,,,,,,,,,,
,Pumpkin Reef,Points of Interest,Willsboro,New York,United States,Lake Champlain,Broad Lake,"44.44561526618685, -73.37358681927505",,,,Underwater hazard - marked,,,,,,,,,,,,,,,,,,,,,,
,Willsboro Point Nightly Accommodations,Hotel,Willsboro,New York,United States,Lake Champlain,Broad Lake,"44.43232521042483, -73.38738592198585",https://www.willsboropoint.com/#rentals,,,Lakeside lodging,,,,,,,,,,,,,,,,,,,,,,
,Indian Bay Marina and Restaurant,Marina;Restaurant,Willsboro,New York,United States,Lake Champlain,Broad Lake,"44.427674662513304, -73.39325459516178",http://www.indianbaymarinany.com/,15189637858,9,Full-service marina with restaurant,TRUE,"gasoline,diesel",TRUE,45,10,50,8,,,,,,,,,,,,,,,
,The Upper Deck,Restaurant,Willsboro,New York,United States,Lake Champlain,Broad Lake,"44.40491938761567, -73.39477214295349",,,,Waterfront dining,,,,,,,,,,,,,,,,,,,,,,
,Safe Harbor Willsboro Bay,Marina,Willsboro,New York,United States,Lake Champlain,Broad Lake,"44.40498453851561, -73.39557412343801",https://shmarinas.com/locations/safe-harbor-willsboro/,15189637276,9,Full-service Safe Harbor marina,TRUE,"gasoline,diesel",TRUE,150,30,65,10,,,,,,,,,,,,,,,
,Willsboro Bay Boat Launch,Boat Launch,Willsboro,New York,United States,Lake Champlain,Broad Lake,"44.40009403347969, -73.39033010148208",,,,State boat launch,,,,,,,,,,,,,,,,,,,,,,
,Willsboro Bay,Anchorage;Bay,Willsboro,New York,United States,Lake Champlain,Broad Lake,"44.39933720278754, -73.38912840265631",,,,Large protected bay - excellent anchorage,,,,,,,,,,,,,,,,,,,,,,
,Port Douglass Boat Launch,Boat Launch,Keeseville,New York,United States,Lake Champlain,Broad Lake,"44.48447137465917, -73.41697353652225",http://www.dec.ny.gov/outdoor/23897.html,,,State boat launch,,,,,,,,,,,,,,,,,,,,,,
,Port Kent Beach,Beach,Port Kent,New York,United States,Lake Champlain,Broad Lake,"44.52720125586525, -73.40435327463666",,,,Public beach,,,,,,,,,,,,,,,,,,,,,,
,Port Kent Boat Launch,Boat Launch;Public Dock,Port Kent,New York,United States,Lake Champlain,Broad Lake,"44.52650330087202, -73.40334744628451",,,,State boat launch,,,,,,,,,,,,,,,,,,,,,,
,Ausable River,Confluence,Port Kent,New York,United States,Lake Champlain,Broad Lake,"44.55616555392404, -73.42414192755848",,,,Major river mouth,,,,,,,,,,,,,,,,,,,,,,
,Ausable Point Campground,Campground,Peru,New York,United States,Lake Champlain,Northern,"44.57237306835322, -73.4280849956548",http://www.dec.ny.gov/outdoor/24452.html,15185617080,,State campground on the lake,,,,,,,,,,,,,,,,,,,,,,
,Valcour Inn and Boathouse,Hotel,Peru,New York,United States,Lake Champlain,Northern,"44.604588634397274, -73.43857103132333",http://www.valcourinn.com/,15185664077,,Lodging with dock access,,,,,,,,,,,,,,,,,,,,,,
,Peru Boat Launch,Boat Launch,Peru,New York,United States,Lake Champlain,Northern,"44.61908180202903, -73.44354077016203",,,,State boat launch near Valcour Island,,,,,,,,,,,,,,,,,,,,,,
,Heron Ledge Cottages,Hotel,Plattsburgh,New York,United States,Lake Champlain,Northern,"44.62140028619301, -73.44611699309085",http://www.heronledge.com/,15188347608,,Lakeside cottage rentals,,,,,,,,,,,,,,,,,,,,,,
,The Mariner Bar & Grill,Restaurant,Plattsburgh,New York,United States,Lake Champlain,Northern,"44.624425807332244, -73.44720564393849",https://www.themarinergrill.com/,15185658511,,Waterfront dining,,,,,,,,,,,,,,,,,,,,,,
,Champlain Fleet Club,Marina,Plattsburgh,New York,United States,Lake Champlain,Northern,"44.624641086744646, -73.44715864107206",http://www.champlainfleetclub.com/,18023635090,,Private yacht club - reciprocals welcome,TRUE,gasoline,FALSE,60,5,50,8,,,,,,,,,,,,,,,
,Salmon River,Confluence,Plattsburgh,New York,United States,Lake Champlain,Northern,"44.62730979696812, -73.44670802995876",,,,River mouth,,,,,,,,,,,,,,,,,,,,,,
,Sailor's Beach,Beach,Plattsburgh,New York,United States,Lake Champlain,Northern,"44.681589125716556, -73.44184174227382",,,,Public beach,,,,,,,,,,,,,,,,,,,,,,
,Sailors Point Park,Points of Interest,Plattsburgh,New York,United States,Lake Champlain,Northern,"44.69138687998434, -73.44396126094192",,,,Waterfront park,,,,,,,,,,,,,,,,,,,,,,
,Naked Turtle,Marina;Restaurant,Plattsburgh,New York,United States,Lake Champlain,Northern,"44.69612428399227, -73.44203890834598",https://www.nakedturtle.net/,15185666200,9,Marina with restaurant and entertainment,TRUE,"gasoline,diesel",FALSE,50,15,55,8,,,,,,,,,,,,,,,
### VERMONT MARINAS - NEW ADDITIONS ###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Burlington Harbor Marina,Marina,Burlington,Vermont,United States,Lake Champlain,Broad Lake,"44.4775, -73.2261",https://www.burlingtonharbormarina.com/,8026519402,9,Premier downtown marina with 160 slips and transient dockage,TRUE,"gasoline,diesel",FALSE,160,60,90,13,,,,,,,,,,,,,,,
,Ferry Dock Marina,Marina,Burlington,Vermont,United States,Lake Champlain,Broad Lake,"44.4753, -73.2234",https://ferrydockmarina.com/,8028623300,16,Full-service marina with non-ethanol gas,TRUE,"gasoline,diesel",TRUE,80,20,60,10,,,,,,,,,,,,,,,
,Safe Harbor Shelburne Shipyard,Marina,Shelburne,Vermont,United States,Lake Champlain,Broad Lake,"44.3825, -73.2456",https://shmarinas.com/locations/safe-harbor-shelburne-shipyard/,18029853326,9,Historic shipyard since 1820 - full service,TRUE,"gasoline,diesel",TRUE,105,5,55,9,,,,,,,,,,,,,,,
,Point Bay Marina,Marina,Charlotte,Vermont,United States,Lake Champlain,Broad Lake,"44.3086, -73.2628",https://www.pointbaymarina.com/,18024252431,9,Full-service marina with 200 slips and moorings,TRUE,"gasoline,diesel",TRUE,200,10,55,10,,,,,,,,,,,,,,,
,Basin Harbor Boat Club,Marina,Vergennes,Vermont,United States,Lake Champlain,Broad Lake,"44.1742, -73.3564",https://www.basinharbor.com/the-boat-club/,18024754311,9,Resort marina with 66 slips,TRUE,gasoline,FALSE,66,10,70,8,,,,,,,,,,,,,,,
,Vergennes Municipal Docks,Public Dock,Vergennes,Vermont,United States,Lake Champlain,Broad Lake,"44.1678, -73.2539",https://www.vergennes.org/departments/municipal_docks.php,,,Free municipal docks on Otter Creek - 48hr limit,FALSE,,,,,,,,,,,,,,,,,,,,,
,Champlain Marina,Marina,Colchester,Vermont,United States,Lake Champlain,Broad Lake,"44.5456, -73.2042",https://www.champlainmarina.com/,18028631800,16,118-slip marina in Malletts Bay with ValvTect fuel,TRUE,"gasoline,diesel",TRUE,118,10,70,10,,,,,,,,,,,,,,,
,Bay Harbor Marina,Marina,Colchester,Vermont,United States,Lake Champlain,Broad Lake,"44.5528, -73.2089",https://bayharbormarinavt.com/,18028638753,9,165 floating slips in Malletts Bay,TRUE,"gasoline,diesel",TRUE,165,15,65,10,,,,,,,,,,,,,,,
,The Moorings Marina,Marina,Colchester,Vermont,United States,Lake Champlain,Broad Lake,"44.5489, -73.2064",https://mooringsvt.com/,18028633388,9,Full-service marina in Malletts Bay,TRUE,"gasoline,diesel",FALSE,100,10,55,8,,,,,,,,,,,,,,,
,Malletts Bay Boat Club,Marina,Colchester,Vermont,United States,Lake Champlain,Broad Lake,"44.5462, -73.2098",,,,,Private yacht club,TRUE,gasoline,FALSE,80,5,45,8,,,,,,,,,,,,,,
,Ladd's Landing Marina,Marina,Grand Isle,Vermont,United States,Lake Champlain,Islands,"44.7058, -73.2892",https://www.laddslandingmarina.com/,18023723810,9,Marina at Grand Isle drawbridge - fuel and ship store,TRUE,"gasoline,diesel",TRUE,80,15,50,8,,,,,,,,,,,,,,,
,North Hero Marina,Marina,North Hero,Vermont,United States,Lake Champlain,Islands,"44.8053, -73.2647",https://northheromarina.com/,18023725953,9,91 deep water slips with pool and tiki bar,TRUE,"gasoline,diesel",TRUE,91,15,60,10,,,,,,,,,,,,,,,
,Apple Island Marina,Marina,South Hero,Vermont,United States,Lake Champlain,Islands,"44.6408, -73.2967",,18023724051,9,Marina at entrance to Islands,TRUE,gasoline,FALSE,60,10,45,8,,,,,,,,,,,,,,,
,Keeler Bay Marina,Marina,South Hero,Vermont,United States,Lake Champlain,Islands,"44.6542, -73.3011",,,,92 seasonal slips on Lake Champlain,FALSE,,,92,5,40,6,,,,,,,,,,,,,,,
,US 2 Drawbridge - Grand Isle,Bridge,Grand Isle,Vermont,United States,Lake Champlain,Islands,"44.7058, -73.2889",,,,Bascule drawbridge connecting Grand Isle to North Hero,,,,,,,,bascule,18,unlimited,US Route 2,,On signal,,,,,,,,,
,US 2 Bridge - Alburgh,Bridge,Alburgh,Vermont,United States,Lake Champlain,Northern,"44.9733, -73.2528",,,,Causeway bridge to Alburgh,,,,,,,,fixed,8,,US Route 2,,,,,,,,,,,
,Otter Creek Entrance,Confluence,Ferrisburgh,Vermont,United States,Lake Champlain,Broad Lake,"44.2017, -73.3347",,,,Entrance to Otter Creek - 7mi to Vergennes,,,,,,,,,,,,,,,,,,,,,,
,Charlotte Town Beach,Beach,Charlotte,Vermont,United States,Lake Champlain,Broad Lake,"44.3153, -73.2614",,,,Public beach,,,,,,,,,,,,,,,,,,,,,,
,Shelburne Bay,Anchorage;Bay,Shelburne,Vermont,United States,Lake Champlain,Broad Lake,"44.3847, -73.2389",,,,Protected bay - good anchorage,,,,,,,,,,,,,,,,,,,,,,
,Burlington Waterfront,Points of Interest,Burlington,Vermont,United States,Lake Champlain,Broad Lake,"44.4778, -73.2208",,,,Vibrant waterfront with parks and bike path,,,,,,,,,,,,,,,,,,,,,,
,ECHO Leahy Center,Points of Interest,Burlington,Vermont,United States,Lake Champlain,Broad Lake,"44.4761, -73.2256",https://www.echovermont.org/,18028647823,,Lake Champlain science center and aquarium,,,,,,,,,,,,,,,,,,,,,,
,Valcour Island,Island;Anchorage,Peru,New York,United States,Lake Champlain,Northern,"44.6217, -73.4314",,,,Historic island - Revolutionary War battle site,,,,,,,,,,,,,,,,,,,,,,
,Juniper Island,Island,Burlington,Vermont,United States,Lake Champlain,Broad Lake,"44.4556, -73.2583",,,,Small island in Burlington Bay,,,,,,,,,,,,,,,,,,,,,,
,Lake Champlain Maritime Museum,Points of Interest,Vergennes,Vermont,United States,Lake Champlain,Broad Lake,"44.1978, -73.3397",https://www.lcmm.org/,18024752022,,Museum of Lake Champlain maritime history,,,,,,,,,,,,,,,,,,,,,,